audit_category,check_id,check,page_template_scope,evidence_url_or_screenshot,result_pass_partial_fail_na,severity,revenue_risk,affected_url_count,owner,effort,dependency,recommended_fix,validation_method,rollback_requirement,due_date,status,reviewer_notes
Crawlability,TSA-011,robots meta tag and X-Robots-Tag header are consistent and intentional per template (no conflicting signals).,All templates,URL Inspection + response headers,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access to templates/CDN headers,Standardize robots directives per template; remove conflicting header/meta combinations.,Spot-check response headers vs. rendered meta tag per template,Yes — keep prior header config,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-012,"noindex is applied only to intended URLs (filters, thin pages, internal search results) and not to revenue pages.",All templates,Crawler noindex report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,None,Remove noindex from revenue-bearing templates; confirm intended noindex list with stakeholders.,Re-crawl and confirm noindex list matches intended list,Yes,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-013,Internal links use crawlable <a href> anchors; no link-dependent content is JS-click-only or button-only.,All templates,Rendered DOM inspection,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access to navigation/link components,Replace JS-only click handlers with real anchor elements.,Rendered-HTML link count matches expected navigation,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-014,No important page is orphaned (zero internal inlinks) per crawler link-graph report.,Site-wide,Crawler internal-link report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Content/dev access to add links,Add internal links from at least one relevant hub or listing page.,Re-crawl and confirm inlink count > 0 for prior orphans,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-015,Crawl budget is not wasted on faceted/parameterized URL combinations without commercial value.,Category/listing templates,Crawler URL-parameter report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,See Ecommerce & Faceted Navigation section,Apply robots/canonical/parameter rules per TSA-081–088.,Crawl stats show reduced parameterized-URL crawl share,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-016,"Server responds to crawler user agents (Googlebot, Bingbot) the same way it responds to standard browsers (no cloaking).",Site-wide,User-agent-switched fetch comparison,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Dev/infra access,Remove user-agent-based content or status differences.,Compare fetch-as-Googlebot output to standard browser output,No,[Set date],[Not started],[Reviewer notes]
Crawlability,TSA-017,"Crawl stats in Search Console show stable or improving crawl requests and average response time, not a downward host-health trend.",Site-wide,Search Console crawl stats report,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Search Console access,Investigate server response-time regressions or crawl demand drops.,Monitor crawl stats trend over the following 4 weeks,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-018,"Canonical tags are self-referencing on indexable pages, or point to the correct preferred URL on duplicates.",All templates,Crawler canonical report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Dev access to templates,Fix canonical tag logic per template to point at the preferred URL.,Re-crawl and confirm canonical/actual URL match rate,Yes,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-019,Indexed URL count in Search Console is consistent with the count of intentionally indexable URLs (no large unexplained gap).,Site-wide,Search Console Page Indexing report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Search Console access,Investigate and resolve the specific exclusion reasons driving the gap.,Re-check Page Indexing report after fixes propagate,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-020,"'Crawled — currently not indexed' count is investigated per template, not dismissed as normal.",All templates,Search Console Page Indexing report,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Search Console access,Improve content depth/uniqueness or consolidate thin duplicate templates.,Track this exclusion count trend over time,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-021,'Discovered — currently not indexed' URLs are checked for crawl-budget or quality causes.,All templates,Search Console Page Indexing report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Search Console access,Improve internal linking and page quality signals for affected URLs.,Track this exclusion count trend over time,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-022,"Duplicate content clusters (parameter variants, trailing slash, http/https, www/non-www) resolve to one canonical version.",Site-wide,Crawler duplicate-content report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],M,Server/CDN redirect and canonical config,Standardize on one URL form site-wide with 301s and matching canonicals.,Re-crawl and confirm single indexable form per cluster,Yes — verify redirect map,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-023,HTTPS is enforced site-wide with valid certificates and no mixed-content warnings.,Site-wide,Browser console + SSL check,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Certificate/infra access,Force HTTPS redirects and fix mixed-content resource references.,Re-check for mixed-content console warnings,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-024,"hreflang tags (if multi-locale) are reciprocal and reference self, with no orphaned or mismatched entries.",Localized templates,Crawler hreflang report,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Localization data / CMS access,Fix reciprocal hreflang pairs and remove orphaned entries.,Re-crawl and confirm hreflang reciprocity,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-025,"Pagination pages (page 2, 3…) are indexable and distinct, not noindexed or duplicated, where they hold unique product/listing value.",Category/listing templates,Crawler pagination report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev access to pagination templates,Set intentional index/noindex per pagination page based on unique value.,Re-crawl paginated series and confirm intended status,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-026,"URL structure is descriptive, stable, and free of unnecessary query-string noise on canonical/indexable pages.",All templates,Crawler URL-pattern report,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],M,Dev access to routing,Simplify URL patterns for new sections; avoid changing existing indexed URLs without a redirect plan.,Review new URL patterns before launch,Yes if changing existing URLs,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-027,404 and other error pages return the correct status code and are not being indexed.,Error templates,Crawler status + Search Console report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Dev access to error templates,"Confirm error templates return true 404/410, not 200.",Re-crawl error URLs and confirm status code,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-028,Redirected legacy URLs from prior migrations still resolve correctly (no accumulated redirect rot).,Site-wide,Redirect map audit vs. live crawl,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Redirect map history,Test a sample of historical redirects; fix any broken or chained entries.,Sample-test 20+ historical redirects quarterly,Yes,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-029,Search Console has no manual actions and Security Issues is clear.,Site-wide,Search Console Manual Actions / Security Issues report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Search Console access,Resolve the specific manual action or security issue per Google's guidance before any other indexation work.,Confirm report shows no issues after fix,No,[Set date],[Not started],[Reviewer notes]
Indexation,TSA-030,International or multi-brand domains are not competing for the same query intent (cannibalization at the domain level).,Multi-site portfolios,Search Console query overlap review,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],M,Search Console access across properties,Differentiate targeting or consolidate overlapping properties.,Monitor query overlap over the following quarter,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-031,Revenue-critical pages are reachable within 3 clicks of the homepage or a primary entry point.,All templates,Crawler click-depth report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],M,Navigation/IA access,Add navigation or hub-page links to reduce click depth.,Re-crawl and confirm click depth ≤ 3 for target set,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-032,Hub/category pages link down to their children and across to sibling categories.,Category templates,Crawler internal-link report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Template/content access,Add child and sibling links to hub templates.,Re-crawl and confirm bidirectional linking,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-033,"Breadcrumbs are present, accurate, and reflect the real site hierarchy.",All templates,Rendered page + Breadcrumb structured data,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],M,Template access,Fix breadcrumb logic to match the real IA; add BreadcrumbList schema.,Rich Results Test on a sample of templates,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-034,"Primary navigation is present in server-rendered or pre-rendered HTML, not injected only after user interaction.",Site-wide,View-source / rendered HTML diff,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access to navigation component,Ensure navigation markup exists in the initial HTML response.,Compare raw HTML vs. rendered HTML for nav presence,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-035,Footer links do not carry the majority of a page's outbound link equity to unrelated or low-value pages.,Site-wide template,Crawler outbound-link report,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],M,Template access,Trim footer link count and point remaining links at genuinely relevant pages.,Re-crawl and confirm footer link count reduction,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-036,"Anchor text used for internal links is descriptive of the destination, not generic ('click here', 'read more') on important paths.",All templates,Crawler anchor-text report,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Content/template access,Rewrite anchor text on high-value internal links to be descriptive.,Spot-check anchor text on top 20 linked pages,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-037,Topic-cluster pillar and supporting pages link to each other in both directions where relevant.,Content templates,Content/link-graph review,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Editorial/content access,Add missing pillar-to-child and child-to-pillar links.,Spot-check cluster linking coverage,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-038,Sitewide link count per page is reasonable for the template type (not thousands of low-value links diluting equity).,All templates,Crawler link-count-per-page report,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],M,Template access,Reduce non-essential link blocks on affected templates.,Re-crawl and confirm link count per page trend,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-039,"Related-content modules link to genuinely relevant pages, not a static or randomized unrelated set.",Article/product templates,Rendered page review,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],M,Dev/content access to related-content logic,Fix related-content selection logic to use topical relevance.,Spot-check related-content relevance on a sample,No,[Set date],[Not started],[Reviewer notes]
Site Architecture & Internal Linking,TSA-040,Mobile navigation exposes the same crawlable link set as desktop (no mobile-only hidden sections that drop links).,All templates,Mobile-rendered HTML review,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev access to responsive navigation,"Ensure mobile nav markup contains the same links as desktop, even if visually collapsed.",Compare mobile vs. desktop rendered link sets,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-041,"Primary content and headings are present in the rendered HTML (post-JS-execution), not only in raw source.",All templates,URL Inspection rendered HTML / rendering tool screenshot,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Dev access to rendering pipeline,"Fix client-side rendering gaps with SSR, SSG, or dynamic rendering for bots.",Compare rendered vs. expected content per template,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-042,"Critical internal links are present as real anchors in the rendered DOM, not generated only on click/hover.",All templates,Rendered DOM inspection,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],M,Dev access to link components,Render link markup server-side rather than on interaction.,Inspect rendered DOM for anchor presence,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-043,"Rendering does not depend on a required user action (scroll-triggered infinite load, click-to-reveal) for indexable content.",Listing/article templates,Rendered HTML review with no interaction,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access,Provide a crawlable paginated or SSR fallback for infinite-scroll content.,Fetch rendered HTML with no simulated interaction and confirm content presence,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-044,Rendering budget/timeout is sufficient for the page's JS execution time (no partial renders under crawler time limits).,Heavy JS templates,Rendering-tool timing report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/performance access,Reduce JS execution time or pre-render heavy templates.,Re-test render completeness after optimization,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-045,"Structured data is present in the rendered DOM if it is injected client-side, not only in an unexecuted script tag.",Templates using client-rendered schema,Rendered HTML structured-data check,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access to schema injection,Move schema injection to server-side render or confirm client injection completes before crawl.,Rich Results Test against the live URL,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-046,Client-side redirects (JS-based) are replaced with server-side (301/302) redirects wherever feasible.,Redirect-dependent templates,Rendered network trace,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/infra access,Move redirect logic to the server/CDN layer.,Confirm HTTP-level redirect via response headers,Yes,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-047,"Lazy-loaded images below the fold still resolve to a real src (or valid srcset) in rendered HTML, not a placeholder only.",All templates,Rendered HTML image-attribute check,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Dev access to image components,Ensure lazy-load implementation sets a real image source attribute.,Inspect rendered HTML for placeholder-only images,No,[Set date],[Not started],[Reviewer notes]
JavaScript Rendering,TSA-048,"Framework-level metadata (title, meta description, canonical) is set per route at render time, not left at a default/shared value.",All templates,Rendered HTML head check,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Dev access to routing/metadata layer,Wire per-route metadata into the rendering layer.,Sample rendered HTML head across templates for uniqueness,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-049,"Largest Contentful Paint (LCP) is at or under 2.5 seconds at the 75th percentile, using field data where available.",All templates,PageSpeed Insights / CrUX / Search Console CWV report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Performance/dev access,"Optimize the LCP element: preload, compress, remove render-blocking resources.",Re-measure 75th-percentile field LCP after 28-day CrUX window,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-050,Interaction to Next Paint (INP) is at or under 200 milliseconds at the 75th percentile.,Interactive templates,PageSpeed Insights / CrUX report,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Dev access to JS execution,Reduce main-thread blocking time and long tasks triggered by interactions.,Re-measure 75th-percentile field INP after 28-day CrUX window,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-051,Cumulative Layout Shift (CLS) is at or under 0.1.,All templates,PageSpeed Insights / CrUX report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],M,Dev access to layout/CSS,Reserve space for images/ads/embeds and avoid late-injected content above existing content.,Re-measure CLS after fix ships,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-052,"Core Web Vitals are assessed on mobile as the primary device class, not desktop only.",All templates,PageSpeed Insights mobile report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],S,None,Re-run all CWV checks against mobile field/lab data specifically.,Confirm mobile-specific CWV report is the primary reference,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-053,Render-blocking CSS/JS on the critical rendering path is minimized for top templates.,High-traffic templates,PageSpeed Insights diagnostics,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev access to build pipeline,Defer non-critical CSS/JS; inline critical CSS where appropriate.,Re-run diagnostics and confirm reduced blocking-resource count,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-054,"Images are served in modern formats, correctly sized, and compressed for their rendered dimensions.",All templates,PageSpeed Insights image audit,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/CDN image pipeline access,"Convert to modern formats and serve responsive, compressed sizes.",Re-run image audit and confirm savings realized,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-055,"Fonts are loaded with a strategy that avoids invisible text and layout shift (font-display, preloading key fonts).",All templates,PageSpeed Insights font audit,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Dev access to font loading,Set font-display and preload key font files.,Re-check for FOIT/FOUC and layout shift from font swap,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-056,"Third-party scripts (tags, widgets, ads) are audited and any with disproportionate performance cost are deferred or removed.",All templates,PageSpeed Insights third-party audit,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Marketing/tag-management access,"Defer, lazy-load, or remove low-value third-party scripts.",Re-run third-party audit and confirm reduced blocking time,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-057,Server response time (TTFB) is within a healthy range for the hosting/CDN setup.,All templates,PageSpeed Insights / server timing report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Infra/hosting access,"Improve caching, use a CDN, or upgrade hosting tier.",Re-measure TTFB after infra change,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-058,A CWV regression-monitoring process exists so a code deploy that degrades performance is caught before or shortly after release.,Site-wide,CI performance budget or monitoring dashboard config,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/DevOps access,Add a performance budget gate to CI or a scheduled CWV monitoring job.,Confirm alert fires on an intentional test regression,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-059,Above-the-fold content does not depend on a large hero video/animation that delays LCP.,Homepage/landing templates,PageSpeed Insights LCP element report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/design access,Replace or defer heavy hero media; use a lightweight poster/placeholder.,Re-measure LCP after change,No,[Set date],[Not started],[Reviewer notes]
Core Web Vitals & Performance,TSA-060,Mobile page weight (transferred bytes) is reasonable for the target markets' typical connection speeds.,All templates,PageSpeed Insights network report,[Fill: Pass/Partial/Fail/N/A],Low,Medium,[Count],[Assign owner],M,Dev/CDN access,"Reduce payload via compression, code-splitting, and asset trimming.",Re-measure transferred bytes after optimization,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-061,"Every content/article template includes Article or BlogPosting schema with headline, datePublished, dateModified, author, and image.",Article/blog templates,Rich Results Test output,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev/CMS access to schema fields,Add or complete the recommended Article/BlogPosting properties per template.,Rich Results Test on a sample of URLs per template,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-062,Structured data reflects the content actually visible on the page — no markup for content that is not present or has been removed.,All templates using schema,Rich Results Test vs. rendered page comparison,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Content/dev access,Remove or correct schema fields that do not match visible content.,Manual comparison of schema fields vs. rendered page,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-063,"Only valid, currently supported schema.org types are used; deprecated or unsupported rich-result types are identified and treated as informational schema, not a rankings/rich-result lever.",All templates using schema,Schema markup validator + Search Console Enhancements report,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Dev/CMS access,Confirm current eligibility per type before relying on it for a rich-result claim; document any type that no longer produces a rich result even if still valid schema.,Re-check Search Console Enhancements report and current Google documentation,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-064,"FAQPage schema, if used, matches the visible FAQ content exactly and its current rich-result eligibility is documented rather than assumed.",Templates with an FAQ block,Schema/visible-content diff + current Google documentation check,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Content/CMS access,Keep FAQ schema in sync with visible FAQ text; do not represent FAQ schema as guaranteed to produce a search rich result if current guidance says otherwise.,Diff schema.faqItems against rendered FAQ block on every publish,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-065,BreadcrumbList schema matches the visible breadcrumb trail and site hierarchy.,All templates with breadcrumbs,Rich Results Test output,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Dev/CMS access,Sync BreadcrumbList schema generation with the rendered breadcrumb component.,Rich Results Test on a sample of templates,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-066,"Organization/WebSite schema (sitewide) includes accurate name, logo, and sameAs entity links.",Site-wide (homepage or global),Rich Results Test / schema validator,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Brand/dev access,Add or correct sitewide Organization schema fields.,Validate against schema.org and Rich Results Test,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-067,"Product schema (if ecommerce) includes accurate price, availability, and identifies match live product data (no stale/inflated data).",Product templates,Merchant Center diagnostics + Rich Results Test,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Ecommerce platform/feed access,"Wire schema fields to the live product-data source, not a cached or manual value.",Merchant Center diagnostics show no mismatch errors,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-068,"Video schema (if used) matches actual video presence, duration, and thumbnail.",Templates with embedded video,Rich Results Test output,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Dev/CMS access,Correct or remove VideoObject schema that doesn't match the real video.,Rich Results Test on a sample of video pages,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-069,"No structured data implementation makes an inclusion, ranking, or AI-citation guarantee in its surrounding page copy or internal documentation.",Site-wide,Manual copy review,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Content/editorial access,Rewrite any copy implying schema guarantees a result; state it as an eligibility/clarity aid instead.,Editorial review sign-off per template,No,[Set date],[Not started],[Reviewer notes]
Structured Data,TSA-070,Structured data errors and warnings in Search Console's Enhancements reports are reviewed on a recurring cadence.,Site-wide,Search Console Enhancements reports,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Search Console access,Assign an owner to review and clear Enhancements report issues monthly.,Confirm Enhancements report trend is flat or improving,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-071,"A complete, tested 1:1 (or intentionally mapped) URL redirect plan exists before any domain, CMS, or URL-structure migration goes live.",Site-wide migration,Redirect map spreadsheet/file,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],L,Full crawl of the legacy site pre-migration,"Build the redirect map from a full legacy-site crawl, not from memory or a partial list.",Test the full redirect map in staging before cutover,Yes — this workbook item's own subject is the rollback plan,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-072,Legacy XML sitemap remains available for a defined post-migration window to accelerate re-crawl of redirects.,Site-wide migration,Sitemap file + hosting config,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Migration plan,Keep the legacy sitemap live and submitted for 2–4 weeks post-cutover.,Confirm Search Console still processes the legacy sitemap during the window,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-073,robots.txt on the new environment is verified to allow crawling before DNS cutover (a common migration failure point).,Site-wide migration,"robots.txt diff, pre- and post-cutover",[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Access to new environment config,Explicitly confirm and test robots.txt on the new environment before go-live.,Fetch robots.txt on the new environment pre-cutover and re-check immediately post-cutover,Yes,[Set date],[Not started],[Reviewer notes]
