"article_id","batch_slug","batch_title","priority","wave","role","cluster","title","slug","primary_keyword","money_page","claude_brief_file","claude_output_status","validation_status","converted_backfill_file","import_status","publish_status","live_url","post_publish_qa_status","notes"
"TC-021","batch-06-digital-pr-authority","Digital PR And Authority","21","Wave 2","Supporting Cluster","Digital PR & Authority","Digital PR vs Link Building: How to Earn Authority Without Buying Risk","digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk","digital PR vs link building","/services/digital-pr-link-building","batch-06-digital-pr-authority.md","received","passed","src/content/backfill/core56-batch-06-digital-pr-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk","passed","Exact SERP intent and competitor-gap validation required | Batch 06 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-038","batch-06-digital-pr-authority","Digital PR And Authority","38","Wave 2","Pillar","Digital PR & Authority","How to Create Linkable Assets and Original Research That Earn Authority","how-to-create-linkable-assets-and-original-research-that-earn-authority","linkable assets SEO","/services/digital-pr-link-building","batch-06-digital-pr-authority.md","received","passed","src/content/backfill/core56-batch-06-digital-pr-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/how-to-create-linkable-assets-and-original-research-that-earn-authority","passed","High authority/proof requirement | Batch 06 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-039","batch-06-digital-pr-authority","Digital PR And Authority","39","Wave 2","Supporting Cluster","Digital PR & Authority","Backlink Quality: How to Evaluate Relevance, Editorial Value, Traffic, and Risk","backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk","backlink quality","/services/digital-pr-link-building","batch-06-digital-pr-authority.md","received","passed","src/content/backfill/core56-batch-06-digital-pr-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk","passed","Exact SERP intent and competitor-gap validation required | Batch 06 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-040","batch-06-digital-pr-authority","Digital PR And Authority","40","Wave 2","Supporting Cluster","Digital PR & Authority","Data-Led Digital PR: From Research Question to Earned Coverage","data-led-digital-pr-from-research-question-to-earned-coverage","data-led digital PR","/services/digital-pr-link-building","batch-06-digital-pr-authority.md","received","passed","src/content/backfill/core56-batch-06-digital-pr-authority.ts","imported-draft","published","https://taskcover.com/insights/content-authority/data-led-digital-pr-from-research-question-to-earned-coverage","passed","Exact SERP intent and competitor-gap validation required | Batch 06 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-022","batch-07-local-franchise-international","Local, Franchise, International SEO","22","Wave 2","Industry / Market Guide","Local SEO & Franchise","Local SEO for Multi-Location Businesses: Architecture, Reviews, Listings, and Local Content","local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l","multi-location SEO","/services/local-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l","passed","High authority/proof requirement | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-023","batch-07-local-franchise-international","Local, Franchise, International SEO","23","Wave 2","Pillar","International SEO","International SEO Architecture: Hreflang, Country Pages, Localization, and Canonicals","international-seo-architecture-hreflang-country-pages-localization-and-cano","international SEO hreflang","/services/international-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano","passed","High authority/proof requirement | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-024","batch-07-local-franchise-international","Local, Franchise, International SEO","24","Wave 3","Industry / Market Guide","Local SEO & Franchise","Franchise SEO: How to Scale Local Visibility Without Duplicate or Doorway Pages","franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa","franchise SEO","/industries/franchise-local-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa","passed","High authority/proof requirement | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-044","batch-07-local-franchise-international","Local, Franchise, International SEO","44","Wave 3","Supporting Cluster","Local SEO & Franchise","Local Landing Pages That Rank Without Becoming Doorway Pages","local-landing-pages-that-rank-without-becoming-doorway-pages","local landing pages SEO","/services/local-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/local-landing-pages-that-rank-without-becoming-doorway-pages","passed","Exact SERP intent and competitor-gap validation required | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-045","batch-07-local-franchise-international","Local, Franchise, International SEO","45","Wave 3","Supporting Cluster","Local SEO & Franchise","Google Business Profile, Reviews, and Local Entity Consistency: A Governance Guide","google-business-profile-reviews-and-local-entity-consistency-a-governance-g","Google Business Profile optimization","/services/local-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/google-business-profile-reviews-and-local-entity-consistency-a-governance-g","passed","Exact SERP intent and competitor-gap validation required | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-046","batch-07-local-franchise-international","Local, Franchise, International SEO","46","Wave 3","Pillar","International SEO","International SEO URL Structure: ccTLD vs Subfolder vs Subdomain vs One Global Site","international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob","international SEO URL structure","/services/international-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob","passed","High authority/proof requirement | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-047","batch-07-local-franchise-international","Local, Franchise, International SEO","47","Wave 3","Industry / Market Guide","International SEO","SEO Localization for USA, Canada, and Australia: Language, Trust, Offers, and Conversion","seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con","SEO localization USA Canada Australia","/services/international-seo","batch-07-local-franchise-international.md","received","passed","src/content/backfill/core56-batch-07-local-franchise-international.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con","passed","High authority/proof requirement | Batch 07 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-025","batch-08-industry-seo","Industry SEO","25","Wave 3","Industry / Market Guide","Industry SEO","Travel SEO Strategy: Win Discovery Across Google, AI Search, and Destination Research","travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r","travel SEO strategy","/industries/travel-seo","batch-08-industry-seo.md","received","passed","src/content/backfill/core56-batch-08-industry-seo.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r","passed","High authority/proof requirement | Batch 08 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-026","batch-08-industry-seo","Industry SEO","26","Wave 3","Industry / Market Guide","Industry SEO","Education SEO Strategy: Increase Program Discovery and Qualified Student Enquiries","education-seo-strategy-increase-program-discovery-and-qualified-student-enq","education SEO strategy","/industries/education-seo","batch-08-industry-seo.md","received","passed","src/content/backfill/core56-batch-08-industry-seo.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq","passed","High authority/proof requirement | Batch 08 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-027","batch-08-industry-seo","Industry SEO","27","Wave 3","Industry / Market Guide","Industry SEO","Healthcare SEO Strategy: Build Trust, Local Visibility, and Patient Demand","healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand","healthcare SEO strategy","/industries/healthcare-seo","batch-08-industry-seo.md","received","passed","src/content/backfill/core56-batch-08-industry-seo.ts","imported-draft","published","https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand","passed","YMYL: qualified expert review and jurisdiction accuracy are mandatory | Batch 08 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
"TC-028","batch-08-industry-seo","Industry SEO","28","Wave 3","Industry / Market Guide","Industry SEO","Law Firm and Immigration SEO Strategy: Build Qualified Demand Without Thin Location Pages","law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l","law firm SEO strategy","/industries/legal-immigration-seo","batch-08-industry-seo.md","received","passed","src/content/backfill/core56-batch-08-industry-seo.ts","imported-draft","published","https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l","passed","YMYL: qualified expert review and jurisdiction accuracy are mandatory | Batch 08 Claude output validated, converted, and imported as EN draft on 2026-07-11. | Published to production DB and smoke-checked on taskcover.com on 2026-07-11."
