articleId,liveUrl,issue,affectedField,recommendedOwner,recommendedNextSprint,severity,blockingStatus
TC-003,https://taskcover.com/insights/technical-seo/technical-seo-audit-checklist-for-growing-websites,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-004,https://taskcover.com/insights/seo-guides/seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-004,https://taskcover.com/insights/seo-guides/seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-004,https://taskcover.com/insights/seo-guides/seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-004,https://taskcover.com/insights/seo-guides/seo-vs-ppc-how-to-build-a-search-growth-system-instead-of-choosing-one-chan,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-005,https://taskcover.com/insights/local-international-seo/international-seo-for-the-usa-canada-and-australia,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-005,https://taskcover.com/insights/local-international-seo/international-seo-for-the-usa-canada-and-australia,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-005,https://taskcover.com/insights/local-international-seo/international-seo-for-the-usa-canada-and-australia,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-005,https://taskcover.com/insights/local-international-seo/international-seo-for-the-usa-canada-and-australia,Metadata length warning(s): metaDescription too-long (164 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-011,https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-011,https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-011,https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-011,https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-011,https://taskcover.com/insights/seo-guides/how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,Metadata length warning(s): metaDescription too-long (170 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-012,https://taskcover.com/insights/seo-guides/seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-012,https://taskcover.com/insights/seo-guides/seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-012,https://taskcover.com/insights/seo-guides/seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-012,https://taskcover.com/insights/seo-guides/seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia,Metadata length warning(s): metaDescription too-long (164 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-013,https://taskcover.com/insights/seo-guides/how-long-does-seo-take-a-30-90-and-180-day-milestone-framework,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-013,https://taskcover.com/insights/seo-guides/how-long-does-seo-take-a-30-90-and-180-day-milestone-framework,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-013,https://taskcover.com/insights/seo-guides/how-long-does-seo-take-a-30-90-and-180-day-milestone-framework,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-014,https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-014,https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-014,https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-014,https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-014,https://taskcover.com/insights/seo-guides/seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,Metadata length warning(s): metaTitle too-short (20 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-016,https://taskcover.com/insights/technical-seo/javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-016,https://taskcover.com/insights/technical-seo/javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-016,https://taskcover.com/insights/technical-seo/javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-016,https://taskcover.com/insights/technical-seo/javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-017,https://taskcover.com/insights/technical-seo/core-web-vitals-for-seo-and-conversion-what-to-fix-first,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-017,https://taskcover.com/insights/technical-seo/core-web-vitals-for-seo-and-conversion-what-to-fix-first,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-017,https://taskcover.com/insights/technical-seo/core-web-vitals-for-seo-and-conversion-what-to-fix-first,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-018,https://taskcover.com/insights/technical-seo/website-migration-seo-checklist-redesigns-replatforming-and-domain-moves,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-018,https://taskcover.com/insights/technical-seo/website-migration-seo-checklist-redesigns-replatforming-and-domain-moves,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-018,https://taskcover.com/insights/technical-seo/website-migration-seo-checklist-redesigns-replatforming-and-domain-moves,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-018,https://taskcover.com/insights/technical-seo/website-migration-seo-checklist-redesigns-replatforming-and-domain-moves,Metadata length warning(s): metaDescription too-long (161 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-031,https://taskcover.com/insights/technical-seo/crawlability-and-indexation-a-complete-diagnostic-framework,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-031,https://taskcover.com/insights/technical-seo/crawlability-and-indexation-a-complete-diagnostic-framework,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-031,https://taskcover.com/insights/technical-seo/crawlability-and-indexation-a-complete-diagnostic-framework,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-031,https://taskcover.com/insights/technical-seo/crawlability-and-indexation-a-complete-diagnostic-framework,Metadata length warning(s): metaDescription too-long (167 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-032,https://taskcover.com/insights/technical-seo/canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-032,https://taskcover.com/insights/technical-seo/canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-032,https://taskcover.com/insights/technical-seo/canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-032,https://taskcover.com/insights/technical-seo/canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical,Metadata length warning(s): metaDescription too-long (162 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-033,https://taskcover.com/insights/technical-seo/seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-033,https://taskcover.com/insights/technical-seo/seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-033,https://taskcover.com/insights/technical-seo/seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-033,https://taskcover.com/insights/technical-seo/seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl,Metadata length warning(s): metaTitle too-short (27 chars); metaDescription too-long (162 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-034,https://taskcover.com/insights/technical-seo/how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-034,https://taskcover.com/insights/technical-seo/how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-034,https://taskcover.com/insights/technical-seo/how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-034,https://taskcover.com/insights/technical-seo/how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort,Metadata length warning(s): metaTitle too-short (29 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-019,https://taskcover.com/insights/content-authority/topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-019,https://taskcover.com/insights/content-authority/topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-019,https://taskcover.com/insights/content-authority/topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-019,https://taskcover.com/insights/content-authority/topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-020,https://taskcover.com/insights/content-authority/keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-020,https://taskcover.com/insights/content-authority/keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-020,https://taskcover.com/insights/content-authority/keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-035,https://taskcover.com/insights/content-authority/content-audit-and-decay-what-to-update-consolidate-prune-or-keep,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-035,https://taskcover.com/insights/content-authority/content-audit-and-decay-what-to-update-consolidate-prune-or-keep,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-035,https://taskcover.com/insights/content-authority/content-audit-and-decay-what-to-update-consolidate-prune-or-keep,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-035,https://taskcover.com/insights/content-authority/content-audit-and-decay-what-to-update-consolidate-prune-or-keep,Metadata length warning(s): metaTitle too-short (23 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-036,https://taskcover.com/insights/content-authority/how-to-build-an-seo-content-brief-for-google-and-ai-search,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-036,https://taskcover.com/insights/content-authority/how-to-build-an-seo-content-brief-for-google-and-ai-search,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-036,https://taskcover.com/insights/content-authority/how-to-build-an-seo-content-brief-for-google-and-ai-search,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-037,https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-037,https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-037,https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-037,https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-037,https://taskcover.com/insights/content-authority/internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,Metadata length warning(s): metaTitle too-short (25 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-021,https://taskcover.com/insights/content-authority/digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-021,https://taskcover.com/insights/content-authority/digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-021,https://taskcover.com/insights/content-authority/digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-021,https://taskcover.com/insights/content-authority/digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk,Metadata length warning(s): metaTitle too-short (27 chars); metaDescription too-long (170 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-038,https://taskcover.com/insights/content-authority/how-to-create-linkable-assets-and-original-research-that-earn-authority,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-038,https://taskcover.com/insights/content-authority/how-to-create-linkable-assets-and-original-research-that-earn-authority,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-038,https://taskcover.com/insights/content-authority/how-to-create-linkable-assets-and-original-research-that-earn-authority,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-038,https://taskcover.com/insights/content-authority/how-to-create-linkable-assets-and-original-research-that-earn-authority,Metadata length warning(s): metaDescription too-long (168 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-039,https://taskcover.com/insights/content-authority/backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-039,https://taskcover.com/insights/content-authority/backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-039,https://taskcover.com/insights/content-authority/backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-039,https://taskcover.com/insights/content-authority/backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-040,https://taskcover.com/insights/content-authority/data-led-digital-pr-from-research-question-to-earned-coverage,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-040,https://taskcover.com/insights/content-authority/data-led-digital-pr-from-research-question-to-earned-coverage,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-040,https://taskcover.com/insights/content-authority/data-led-digital-pr-from-research-question-to-earned-coverage,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
