articleId,groupId,creationKey,source,status,publishedRevisionId,slug,category,blockCount,directAnswerCount,duplicateOpeningParagraph,faqHeadingCount,faqBlockCount,duplicateFaqProseDuplicatedItems,duplicateFaqProseTotalItems,faqProseRedundancyParagraphCount,markdownPipeTableParagraphCount,markdownPipeTableAmbiguousCount,internalWorkflowPhraseMatchCount,factCheckStatus,sourceCount,claimCount,sourcesWithNoClaimMapping,relatedArticleSlugCount,bodyVisualCount,metadataWarnings,slugWarning,validationError
TC-011,1fc69168-1be0-4b7c-ae15-bc724c4906d8,core56-tc-011,published-db,published,b30a1eb0-bee4-4b62-b299-ab6613b465a5,how-to-choose-an-seo-agency-a-due-diligence-framework-for-founders-and-mark,seo-guides,47,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaDescription too-long (170 chars),length=75,
TC-012,3196e8c3-d700-4169-bdec-f2cf143dad2e,core56-tc-012,published-db,published,5ff8c613-c0cc-4236-acfe-9525e56de331,seo-agency-pricing-what-seo-costs-in-the-usa-canada-and-australia,seo-guides,46,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaDescription too-long (164 chars),,
TC-013,9dd1645c-4c19-40d8-8192-b0d8fefb52da,core56-tc-013,published-db,published,886640b8-970b-40f4-b150-b8ddd4cc2769,how-long-does-seo-take-a-30-90-and-180-day-milestone-framework,seo-guides,49,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,,
TC-014,171596c3-ecf6-4a11-b66d-96925da3cc68,core56-tc-014,published-db,published,b993fc71-d235-4512-b88b-7d7de34fee3c,seo-kpis-that-matter-leads-revenue-visibility-share-of-search-and-ai-mentio,seo-guides,46,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaTitle too-short (20 chars),length=75,
TC-016,95765c5f-fbf4-4a3e-b2ff-26a20ac0ee96,core56-tc-016,published-db,published,5ea34f4f-5c6c-40c5-934e-d4b304ba4808,javascript-seo-and-next-js-seo-crawlability-rendering-metadata-and-indexati,technical-seo,43,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,,length=75,
TC-017,0d898aef-75a6-4be1-953a-aba241a462cc,core56-tc-017,published-db,published,395cefa7-3645-4923-869e-24ca9b721dc5,core-web-vitals-for-seo-and-conversion-what-to-fix-first,technical-seo,41,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,,
TC-018,e9fe128c-d368-4b3b-bf9e-ca52216bbcdc,core56-tc-018,published-db,published,74088a12-fb67-41dd-a28f-2159b3463a39,website-migration-seo-checklist-redesigns-replatforming-and-domain-moves,technical-seo,37,1,true,2,1,,,4,0,0,2,needs-review,3,1,0,0,0,metaDescription too-long (161 chars),,
TC-031,25671955-b913-4c81-9929-fb52b1c55c05,core56-tc-031,published-db,published,1a3f4a26-c170-4e54-b6e5-ebdc12b52bb0,crawlability-and-indexation-a-complete-diagnostic-framework,technical-seo,44,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (167 chars),,
TC-032,377c25f4-64d0-45bb-a9bd-300cae8a1a78,core56-tc-032,published-db,published,46d27898-e7ad-426c-bc9d-7141b5bfc63c,canonical-tags-duplicate-content-pagination-and-url-parameters-a-practical,technical-seo,44,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (162 chars),,
TC-033,58e36331-ed51-48a6-a4cf-644a3de29ee0,core56-tc-033,published-db,published,328d8f34-bbf5-47aa-a3be-f0c545942dd3,seo-log-file-analysis-how-to-see-what-search-bots-actually-crawl,technical-seo,40,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaTitle too-short (27 chars) | metaDescription too-long (162 chars),,
TC-034,91c1a86f-6118-42d6-b42f-9b305784fea9,core56-tc-034,published-db,published,113d1e9e-4957-4753-8f60-2d8e746de187,how-to-prioritize-seo-audit-findings-by-revenue-risk-impact-and-effort,technical-seo,43,1,true,2,1,,,4,1,0,2,needs-review,1,1,0,0,0,metaTitle too-short (29 chars),,
TC-019,e2be1836-f41d-42cb-95c2-4a8326373fa9,core56-tc-019,published-db,published,93f234f1-0c64-49fc-ace8-1ccc53d7956b,topic-clusters-and-topical-authority-how-to-build-a-content-system-that-com,content-authority,44,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,"length=75, likely mid-word cut",
TC-020,a09a37e3-7dcf-4593-a6b7-71042da23124,core56-tc-020,published-db,published,a5d964f3-0e99-4e10-b39a-b624d8bf19a4,keyword-mapping-and-cannibalization-how-to-give-every-page-a-clear-job,content-authority,45,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,,
TC-035,95ea21db-ebd3-43b8-aea3-bef2fca7ff42,core56-tc-035,published-db,published,e079c13c-d927-4927-9727-22b55f81beb0,content-audit-and-decay-what-to-update-consolidate-prune-or-keep,content-authority,47,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaTitle too-short (23 chars),,
TC-036,ed654631-ab31-4ba2-877c-d816dd8a537c,core56-tc-036,published-db,published,fbdd49e6-c79c-4d7b-b9fb-6010888855ef,how-to-build-an-seo-content-brief-for-google-and-ai-search,content-authority,40,1,true,2,1,,,4,0,0,2,needs-review,3,1,0,0,0,,,
TC-037,34327c3e-acf6-4840-8254-2c4087788f12,core56-tc-037,published-db,published,fc3ae145-7d92-42ca-931a-7461e5f93315,internal-linking-strategy-how-to-build-topic-authority-and-move-users-to-re,content-authority,44,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaTitle too-short (25 chars),"length=75, likely mid-word cut",
TC-021,d84ffa3a-ebd7-4d39-bce2-4eb7968b83b7,core56-tc-021,published-db,published,e85f3af5-6ee3-496e-8ce0-5ae62b9b49d4,digital-pr-vs-link-building-how-to-earn-authority-without-buying-risk,content-authority,50,1,true,2,1,,,4,2,0,2,needs-review,3,1,0,0,0,metaTitle too-short (27 chars) | metaDescription too-long (170 chars),,
TC-038,fe907e09-7c5b-4486-8802-c17c2c8ab515,core56-tc-038,published-db,published,d470c563-e65f-47ff-8a11-b8c29ddd4e86,how-to-create-linkable-assets-and-original-research-that-earn-authority,content-authority,45,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (168 chars),,
TC-039,d55fb4e6-9a24-4a27-9372-41c052219f51,core56-tc-039,published-db,published,4d432e9e-f043-4d61-9b4a-9ce1efff7c21,backlink-quality-how-to-evaluate-relevance-editorial-value-traffic-and-risk,content-authority,43,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,length=75,
TC-040,c6175e72-9ef5-4f5a-9891-b830c08aa1a8,core56-tc-040,published-db,published,06f822fe-4975-4c63-a0ff-d17162bbc0df,data-led-digital-pr-from-research-question-to-earned-coverage,content-authority,46,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,metaDescription too-long (162 chars),,
TC-022,3a88bb2a-12fd-4a38-b0d9-7923b4c5871d,core56-tc-022,published-db,published,c5c43241-f915-4534-b265-863876aeff6a,local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l,local-international-seo,45,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,,"length=75, likely mid-word cut",
TC-023,03c30674-7944-4da0-b603-242ae231c0ea,core56-tc-023,published-db,published,063ec2f8-b298-4162-9091-cc11241f68b7,international-seo-architecture-hreflang-country-pages-localization-and-cano,local-international-seo,43,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (164 chars),length=75,
TC-024,6ea5054e-3afc-4692-add1-c5fe8c6fd7c2,core56-tc-024,published-db,published,8a6627aa-2437-4543-865d-693465cc7bc6,franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,local-international-seo,42,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (162 chars),"length=75, likely mid-word cut",
TC-044,a50d2abf-1675-433d-a687-7aa01e191640,core56-tc-044,published-db,published,356f680b-c4b2-452e-b35b-4a2e4ee2017f,local-landing-pages-that-rank-without-becoming-doorway-pages,local-international-seo,42,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (165 chars),,
TC-045,9a2a7649-7c18-4c37-9e9b-409b0729df20,core56-tc-045,published-db,published,9d8c68e5-ee57-4697-a20a-5f5d61800528,google-business-profile-reviews-and-local-entity-consistency-a-governance-g,local-international-seo,45,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,"length=75, likely mid-word cut",
TC-046,640882b1-60a0-4787-83f1-3a67c809d2b9,core56-tc-046,published-db,published,1c92b997-b162-48bc-b29a-4e2cd01dfd3b,international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob,local-international-seo,41,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,,length=75,
TC-047,47b9dc0c-b575-4ee5-89f9-51a0cbaeac16,core56-tc-047,published-db,published,1e363bb9-5b72-4aa8-a81a-59be805fc495,seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,local-international-seo,37,1,true,2,1,,,4,0,0,2,needs-review,3,1,0,0,0,metaDescription too-long (167 chars),"length=75, likely mid-word cut",
TC-025,6d604332-f3c3-40a9-98aa-b54cbc3d2891,core56-tc-025,published-db,published,cd7834d7-122a-4853-9e2f-1f85e6ae7def,travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,local-international-seo,47,1,true,2,1,,,4,1,0,2,needs-review,4,1,0,0,0,metaTitle too-short (19 chars),"length=75, likely mid-word cut",
TC-026,63feb387-1991-43c9-897b-704dd501d4c1,core56-tc-026,published-db,published,f799a26d-f8f2-4187-a3b7-fca39a293890,education-seo-strategy-increase-program-discovery-and-qualified-student-enq,local-international-seo,42,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaTitle too-short (22 chars),"length=75, likely mid-word cut",
TC-027,21643ed5-8b5d-4bdf-8790-3f72fda5f66c,core56-tc-027,published-db,published,eb761e65-c7d7-4a2a-87fb-12b5c534e49f,healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,local-international-seo,43,1,true,2,1,,,4,1,0,2,needs-review,4,1,0,0,0,metaTitle too-short (23 chars),,
TC-028,61df4620-ef25-4bea-b48f-85bed6e29779,core56-tc-028,published-db,published,3ee23d1a-1ce8-4f07-8dee-25c01d033b77,law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,technical-seo,43,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,,"length=75, likely mid-word cut",
TC-029,f4fd6487-e34c-420b-b3a1-83f9d0be8cbe,core56-tc-029,published-db,published,7a4fb3e0-5bbf-4a5c-8a95-fb32ba9671b6,saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,seo-guides,50,1,true,2,1,,,4,2,0,2,needs-review,3,1,0,0,0,metaTitle too-short (17 chars),"length=75, likely mid-word cut",
TC-030,2d839d77-29c8-4453-a269-548797a65019,core56-tc-030,published-db,published,c38f77d5-a111-4fe7-8f90-c0d1e209c5ea,ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,seo-guides,50,1,true,2,1,,,4,2,0,2,needs-review,3,1,0,0,0,metaTitle too-short (22 chars),length=75,
TC-048,3c987cb0-fd80-4cc7-acc7-d04860e08b01,core56-tc-048,published-db,published,dbdedd8c-2a79-4c68-8326-c3d0e4c2609c,faceted-navigation-seo-control-crawl-space-without-hiding-valuable-demand,seo-guides,43,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaTitle too-short (22 chars) | metaDescription too-long (165 chars),,
TC-049,a88daecd-43a6-4a23-823d-bbe6de6f4374,core56-tc-049,published-db,published,fa8b8c46-2786-489f-a750-1a4630d81570,category-and-product-page-seo-architecture-content-variants-and-internal-li,seo-guides,45,1,true,2,1,,,4,2,0,2,needs-review,3,1,0,0,0,metaTitle too-short (29 chars),"length=75, likely mid-word cut",
TC-050,0ddb92cd-1d79-460c-8701-1c9343c95157,core56-tc-050,published-db,published,fe611396-4abb-49c0-a6b2-f3f0bd90ded7,product-structured-data-merchant-feeds-and-ai-shopping-visibility,seo-guides,45,1,true,2,1,,,4,1,0,2,needs-review,3,1,0,0,0,metaDescription too-long (169 chars),,
TC-051,5a2e88e2-388f-476b-bb04-60a417f87166,core56-tc-051,published-db,published,ebf078b2-ed32-4fe6-af31-eabaed2b8509,saas-comparison-alternatives-integration-and-use-case-pages-a-commercial-se,seo-guides,44,1,true,2,1,,,4,1,0,2,needs-review,2,1,0,0,0,,"length=75, likely mid-word cut",
TC-052,0d354a9e-38dd-4192-af35-40a455d3820f,core56-tc-052,published-db,published,226da01f-93fc-46c0-a845-0862c7451ddc,product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,seo-guides,44,1,true,2,1,,,4,1,0,2,needs-review,1,1,0,0,0,metaTitle too-short (28 chars),length=75,
TC-053,281f8675-a0ae-4e8d-8d31-bd013121b26f,core56-tc-053,published-db,published,4fc4e8d4-3013-48c5-b182-faca299a9dbf,how-to-use-ppc-search-term-data-to-improve-seo-content-and-conversion,ppc-search-intelligence,40,1,true,2,1,,,4,0,0,2,needs-review,1,1,0,0,0,metaDescription too-long (165 chars),,
TC-054,918556c8-a2ec-4e46-96d7-8a12c9e3c25e,core56-tc-054,published-db,published,53936a78-fa71-4ee8-bb05-0cef17486ecc,how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,seo-mentor,48,1,true,2,1,,,4,2,0,2,needs-review,1,1,0,0,0,metaTitle too-short (29 chars),"length=75, likely mid-word cut",
TC-055,6e959a32-64a8-4709-b5a3-66d572b6e6ae,core56-tc-055,published-db,published,77168dc4-e02b-4ecd-b5a9-367cda7d3284,seo-reporting-dashboard-what-founders-cmos-and-delivery-teams-need-to-see,seo-guides,40,1,true,2,1,,,4,0,0,2,needs-review,3,1,0,0,0,metaTitle too-short (23 chars) | metaDescription too-long (162 chars),,
TC-056,17b08d6e-35f4-4a32-8ccf-c4fada11ebc3,core56-tc-056,published-db,published,d2f7c31f-a8b4-4d48-b49b-8b77bb624ea1,the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,seo-guides,43,1,true,2,1,,,4,0,0,2,needs-review,5,1,0,0,0,metaDescription too-long (167 chars),length=75,
TC-015,bd226496-5d3a-4c0a-b013-e3a040177c3c,core56-tc-015,published-db,published,a64c51b1-cebf-472c-b89b-d7f78f26fd34,seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,seo-mentor,41,1,true,2,1,,,4,1,0,2,needs-review,1,1,0,0,0,metaDescription too-long (163 chars),length=75,
TC-041,17323c5f-7f6e-4170-894b-799abfa482cf,core56-tc-041,published-db,published,ff14f021-dd82-4d6e-8b3a-869d73952d63,entity-authority-for-ai-search-how-brands-become-clear-consistent-and-verif,ai-search,54,1,true,2,1,,,4,3,0,2,needs-review,3,1,0,0,0,,length=75,
TC-042,855ab652-9962-416b-8659-4d5ba677b942,core56-tc-042,published-db,published,cd60c053-a688-41af-95a5-5c2c3aeba660,ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,ai-search,63,1,true,2,1,,,4,4,0,2,needs-review,3,1,0,0,0,metaTitle too-short (18 chars),length=75,
TC-043,de6a776e-5b6e-4476-befa-7a00c142f831,core56-tc-043,published-db,published,c18486b9-9e65-4b64-aaab-5522088046d1,ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,ai-search,56,1,true,2,1,,,4,3,0,2,needs-review,3,1,0,0,0,metaTitle too-short (23 chars),length=75,
